"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Sopcheite","Sopcheite","Ag<sub>4</sub>Pd<sub>3</sub>Te<sub>4</sub>","Ag Pd Te","1980","Approved"," ","orthorhombic","Ag Pd Te","Sop"
"Sorbyite","Sorbyite","Pb<sub>9</sub>Cu(Sb,As)<sub>11</sub>S<sub>26</sub>","Pb Cu Sb As S","1966","Approved","Madocite","monoclinic","Cu^1+ Pb^2+ Sb^3+ As^3+ S^2-","Srb"
"Sørensenite","Sorensenite","Na<sub>4</sub>Be<sub>2</sub>Sn(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>·2H<sub>2</sub>O","Na Be Sn Si O H","1965","Approved"," ","monoclinic","Na Be Sn^4+ Si O H","Sør"
"Sorosite","Sorosite","Cu<sub>1+x</sub>(Sn,Sb)","Cu Sn Sb","1994","Approved","Nickeline","hexagonal","Cu Sn Sb","Sor"
"Sosedkoite","Sosedkoite","K<sub>5</sub>Al<sub>2</sub>Ta<sub>22</sub>O<sub>60</sub>","K Al Ta O","1981","Approved"," ","orthorhombic","K Al Ta O","Sos"
"Součekite","Soucekite","CuPbBi(S,Se)<sub>3</sub>","Cu Pb Bi S Se","1976","Approved","Bournonite","orthorhombic","Cu^1+ Pb^2+ Bi^3+ S^2-","Sče"
"Souzalite","Souzalite","Mg<sub>3</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O","Mg Al P O H","1949","Approved,Grandfathered","Souzalite","triclinic","Mg Al P O H","Sou"
"Spadaite","Spadaite","MgSiO<sub>2</sub>(OH)<sub>2</sub>·H<sub>2</sub>O (?)","Mg Si O H","1843","Approved,Questionable mineral species"," ","","Mg Si O H","Spa"
"Spaltiite","Spaltiite","Tl<sub>2</sub>Cu<sub>2</sub>As<sub>2</sub>S<sub>5</sub>","Tl Cu As S","2014","Approved,Pending publication"," ","monoclinic","Tl^1+ Cu^1+ As^3+ S^2-","Spti"
"Spangolite","Spangolite","Cu<sub>6</sub>Al(SO<sub>4</sub>)(OH)<sub>12</sub>Cl·3H<sub>2</sub>O","Cu Al S O H Cl","1890","Approved,Grandfathered","Spangolite","hexagonal","Cu^2+ Al S^6+ O H Cl","Spg"
"Spencerite","Spencerite","Zn<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O","Zn P O H","1916","Approved,Grandfathered"," ","monoclinic","Zn^2+ P O H","Scrt"
"Sperrylite","Sperrylite","PtAs<sub>2</sub>","Pt As","1889","Approved,Grandfathered","Pyrite","cubic","Pt As","Spy"
"Spertiniite","Spertiniite","Cu(OH)<sub>2</sub>","Cu O H","1980","Approved"," ","orthorhombic","Cu^2+ O H","Sni"
"Spessartine","Spessartine","Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","Mn Al Si O","1832","Approved,Grandfathered","Garnet","cubic","Mn^2+ Al Si O","Sps"
"Sphaerobertrandite","Sphaerobertrandite","Be<sub>3</sub>(SiO<sub>4</sub>)(OH)<sub>2</sub>","Be Si O H","1957","Approved,Redefined"," ","monoclinic","Be Si O H","Sbtd"
"Sphaerobismoite","Sphaerobismoite","Bi<sub>2</sub>O<sub>3</sub>","Bi O","1993","Approved"," ","tetragonal","Bi^3+ O","Sbm"
"Sphalerite","Sphalerite","ZnS","Zn S","1847","Approved","Sphalerite","cubic","Zn^2+ S^2-","Sp"
"Spheniscidite","Spheniscidite","(NH<sub>4</sub>)Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O","N H Fe P O","1977","Approved","Leucophosphite","monoclinic","N^3- H Fe^3+ P O","Snc"
"Spherocobaltite","Spherocobaltite","Co(CO<sub>3</sub>)","Co C O","1877","Approved,Redefined"," ","hexagonal","Co^2+ C O","Scbt"
"Spinel","Spinel","MgAl<sub>2</sub>O<sub>4</sub>","Mg Al O","0","Approved,Grandfathered","Spinel","cubic","Mg Al O","Spl"
"Spionkopite","Spionkopite","Cu<sub>39</sub>S<sub>28</sub>","Cu S","1978","Approved"," ","","Cu S","Spi"
"Spiridonovite","Spiridonovite","(Cu<sub>1-x</sub>Ag<sub>x</sub>)<sub>2</sub>Te, (x≈0.4)","Cu Ag Te","2019","Approved","Fluorite","hexagonal","Cu^1+ Ag^1+ Te^2-","Srv"
"Spiroffite","Spiroffite","Mn<sup>2+</sup><sub>2</sub>Te<sup>4+</sup><sub>3</sub>O<sub>8</sub>","Mn Te O","1962","Approved"," ","monoclinic","Mn^2+ Te^4+ O","Spf"
"Spodumene","Spodumene","LiAlSi<sub>2</sub>O<sub>6</sub>","Li Al Si O","1800","Approved","Pyroxene","monoclinic","Li Al Si O","Spd"
"Spriggite","Spriggite","Pb<sub>3</sub>(UO<sub>2</sub>)<sub>6</sub>O<sub>8</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O","Pb U O H","2002","Approved"," ","monoclinic","Pb^2+ U^6+ O H","Sgg"
"Springcreekite","Springcreekite","BaV<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>","Ba V P O H","1998","Approved","Alunite-crandallite","hexagonal","Ba V^3+ P O H","Sck"
"Spryite","Spryite","Ag<sub>8</sub>(As<sup>3+</sup><sub>0.5</sub>As<sup>5+</sup><sub>0.5</sub>)S<sub>6</sub>","Ag As S","2015","Approved","Argyrodite","orthorhombic","Ag^1+ As^3+ As^5+ S^2-","Syi"
"Spurrite","Spurrite","Ca<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(CO<sub>3</sub>)","Ca Si O C","1908","Approved,Grandfathered","Spurrite-Afwillite","monoclinic","Ca Si O C","Spu"
"Srebrodolskite","Srebrodolskite","Ca<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>O<sub>5</sub>","Ca Fe O","1984","Approved","Perovskite, Brownmillerite","orthorhombic","Ca Fe^3+ O","Sre"
"Šreinite","Sreinite","Pb(UO<sub>2</sub>)<sub>4</sub>(BiO)<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>7</sub>·4H<sub>2</sub>O","Pb U O Bi P H","2004","Approved"," ","cubic","Pb^2+ U^6+ O Bi^3+ P H","Šrn"
"Srilankite","Srilankite","TiO<sub>2</sub>","Ti O","1982","Approved","Columbite","orthorhombic","Ti^4+ O","Sri"
"Stalderite","Stalderite","TlCu(Zn,Fe,Hg)<sub>2</sub>As<sub>2</sub>S<sub>6</sub>","Tl Cu Zn Fe Hg As S","1987","Approved","Routhierite","tetragonal","Cu^1+ Zn^2+ Tl^1+ As^3+ S^2-","Sld"
"Staněkite","Stanekite","Fe<sup>3+</sup>Mn<sup>2+</sup>O(PO<sub>4</sub>)","Fe Mn O P","1994","Approved","Wagnerite","monoclinic","Fe^3+ Mn^2+ O P","Stk"
"Stanevansite","Stanevansite","Mg(C<sub>2</sub>H<sub>3</sub>O<sub>3</sub>)<sub>2</sub>·2H<sub>2</sub>O","Mg C H O","2022","Approved","Glycolate","monoclinic","Mg C H O","Ses"
"Stanfieldite","Stanfieldite","Ca<sub>4</sub>Mg<sub>5</sub>(PO<sub>4</sub>)<sub>6</sub>","Ca Mg P O","1966","Approved"," ","monoclinic","Ca Mg P O","Stf"
"Stangersite","Stangersite","SnGeS<sub>3</sub>","Sn Ge S","2020","Approved"," ","monoclinic","Sn^2+ Ge^4+ S^2-","Sgs"
"Stanleyite","Stanleyite","V<sup>4+</sup>O(SO<sub>4</sub>)·6H<sub>2</sub>O","V O S H","1980","Approved"," ","orthorhombic","V^4+ O S^6+ H","Stl"
"Stannite","Stannite","Cu<sub>2</sub>FeSnS<sub>4</sub>","Cu Fe Sn S","1832","Approved,Grandfathered","Sphalerite, Stannite","tetragonal","Cu^1+ Fe^2+ Sn^4+ S^2-","Stn"
"Stannoidite","Stannoidite","Cu<sub>8</sub>(Fe,Zn)<sub>3</sub>Sn<sub>2</sub>S<sub>12</sub>","Cu Fe Zn Sn S","1968","Approved","Stannoidite","orthorhombic","Cu^1+ Fe^3+ Fe^2+ Zn^2+ Sn^4+ S^2-","Sta"
"Stannopalladinite","Stannopalladinite","(Pd,Cu)<sub>3</sub>Sn","Pd Cu Sn","1947","Approved,Grandfathered"," ","","Pd Cu Sn","Spdn"
"Starkeyite","Starkeyite","Mg(SO<sub>4</sub>)·4H<sub>2</sub>O","Mg S O H","1945","Approved","Starkeyite","monoclinic","Mg S^6+ O H","Ske"
"Staročeskéite","Staroceskeite","Ag<sub>0.70</sub>Pb<sub>1.60</sub>(Bi<sub>1.35</sub>Sb<sub>1.35</sub>)<sub>Σ2.70</sub>S<sub>6</sub>","Ag Pb Bi Sb S","2017","Approved","Lillianite","orthorhombic","Ag^1+ Pb^2+ Bi^3+ Sb^3+ S^2-","Sčk"
"Starovaite","Starovaite","KCu<sub>5</sub>O(VO<sub>4</sub>)<sub>3</sub>","K Cu O V","2011","Approved"," ","triclinic","K Cu^2+ O V^5+","Sro"
"Staurolite","Staurolite","Fe<sup>2+</sup><sub>2</sub>Al<sub>9</sub>Si<sub>4</sub>O<sub>23</sub>(OH)","Fe Al Si O H","1792","Approved,Grandfathered","Staurolite","monoclinic|orthorhombic","Fe^2+ Al Si O H","St"
"Stavelotite-(La)","Stavelotite-(La)","La<sub>3</sub>Mn<sup>2+</sup><sub>3</sub>Cu<sup>2+</sup>(Mn<sup>3+</sup>,Fe<sup>3+</sup>,Mn<sup>4+</sup>)<sub>26</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>6</sub>O<sub>30</sub>","La Mn Cu Fe Si O","2004","Approved"," ","hexagonal","La Mn^2+ Cu^2+ Mn^3+ Fe^3+ Mn^4+ Si O","Svt-La"
"Steacyite","Steacyite","K<sub>0.3</sub>(Na,Ca)<sub>2</sub>ThSi<sub>8</sub>O<sub>20</sub>","K Na Ca Th Si O","1981","Approved","Steacyite","tetragonal","K Na Ca Th^4+ Si O","Scy"
"Steedeite","Steedeite","NaMn<sub>2</sub>[Si<sub>3</sub>BO<sub>9</sub>](OH)<sub>2</sub>","Na Mn Si B O H","2013","Approved","Not in a structural group","triclinic","Na Mn^2+ Si B O H","Sed"
"Steenstrupine-(Ce)","Steenstrupine-(Ce)","Na<sub>14</sub>Ce<sub>6</sub>Mn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>Zr(PO<sub>4</sub>)<sub>7</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O","Na Ce Mn Fe Zr P O Si H","1882","Approved,Renamed"," ","hexagonal|monoclinic","Na Ce^3+ Mn^2+ Mn^3+ Fe^3+ Zr^4+ P O Si H","Ssp-Ce"
"Stefanweissite","Stefanweissite","(Ca,REE)<sub>2</sub>Zr<sub>2</sub>(Nb,Ti)(Ti,Nb)<sub>2</sub>Fe<sup>2+</sup>O<sub>14</sub>","Ca REE Zr Nb Ti Fe O","2018","Approved","Zirconolite","monoclinic|orthorhombic","Ca REE Zr^4+ Nb^5+ Ti^4+ Fe^2+ O","Swi"
"Steigerite","Steigerite","Al(VO<sub>4</sub>)·3H<sub>2</sub>O","Al V O H","1935","Approved,Grandfathered"," ","","Al V^5+ O H","Sgr"
"Steinhardtite","Steinhardtite","Al","Al","2014","Approved","Iron","cubic","Al","Shd"
"Steinmetzite","Steinmetzite","Zn<sub>2</sub>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>2</sub>(OH)·3H<sub>2</sub>O","Zn Fe P O H","2015","Approved"," ","triclinic","Zn^2+ Fe^3+ P O H","Snm"
"Steklite","Steklite","KAl(SO<sub>4</sub>)<sub>2</sub>","K Al S O","2011","Approved","Sabieite","hexagonal","K Al S^6+ O","Sek"
"Stellerite","Stellerite","Ca<sub>4</sub>(Si<sub>28</sub>Al<sub>8</sub>)O<sub>72</sub>·28H<sub>2</sub>O","Ca Si Al O H","1910","Approved","Stilbite","monoclinic|orthorhombic","Ca Si Al O H","Ste"
"Stenhuggarite","Stenhuggarite","CaFe<sup>3+</sup>Sb<sup>3+</sup>As<sup>3+</sup><sub>2</sub>O<sub>7</sub>","Ca Fe Sb As O","1966","Approved"," ","tetragonal","Ca Fe^3+ Sb^3+ As^3+ O","Shu"
"Stenonite","Stenonite","Sr<sub>2</sub>Al(CO<sub>3</sub>)F<sub>5</sub>","Sr Al C O F","1962","Approved"," ","monoclinic","Sr Al C O F","Sten"
"Stepanovite","Stepanovite","NaMgFe<sup>3+</sup>(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>·9H<sub>2</sub>O","Na Mg Fe C O H","1953","Approved","Stepanovite, Oxalate","hexagonal","Na Mg Fe^3+ C O H","Stpn"
"Stephanite","Stephanite","Ag<sub>5</sub>SbS<sub>4</sub>","Ag Sb S","1845","Approved,Grandfathered"," ","orthorhombic","Ag^1+ Sb^3+ S^2-","Sph"
"Štěpite","Stepite","U(AsO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O","U As O H","2012","Approved","Not in a structural group","tetragonal","U^4+ As^5+ O H","Ště"
"Stercorite","Stercorite","(NH<sub>4</sub>)Na(PO<sub>3</sub>OH)·4H<sub>2</sub>O","N H Na P O","1850","Approved,Grandfathered"," ","triclinic","N^3- H Na P O","Stc"
"Stergiouite","Stergiouite","CaZn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Ca Zn As O H","2019","Approved","Phosphophyllite","monoclinic","Ca Zn^2+ As^5+ O H","Sgo"
"Sterlinghillite","Sterlinghillite","Mn<sup>2+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O","Mn As O H","1980","Approved"," ","monoclinic","Mn^2+ As^5+ O H","Slg"
"Sternbergite","Sternbergite","AgFe<sub>2</sub>S<sub>3</sub>","Ag Fe S","1827","Approved,Grandfathered","Cubanite","orthorhombic","Ag^1+ Fe^2+ Fe^3+ S^2-","Srn"
"Steropesite","Steropesite","Tl<sub>3</sub>BiCl<sub>6</sub>","Tl Bi Cl","2008","Approved"," ","monoclinic","Tl^1+ Bi^3+ Cl","Strp"
"Sterryite","Sterryite","Cu(Ag,Cu)<sub>3</sub>Pb<sub>19</sub>(Sb,As)<sub>22</sub>(As)<sub>2</sub>S<sub>56</sub>","Cu Ag Pb Sb As S","1966","Approved","Madocite","monoclinic","Cu^1+ Ag^1+ Pb^2+ Sb^3+ As^3+ As S^2-","Srr"
"Stetefeldtite","Stetefeldtite","Ag<sub>2</sub>Sb<sub>2</sub>(O,OH)<sub>7</sub>","Ag Sb O H","1867","Approved,Questionable mineral species","Pyrochlore","","Ag^2+ Sb^5+ O H","Sf"
"Stetindite-(Ce)","Stetindite-(Ce)","Ce(SiO<sub>4</sub>)","Ce Si O","2008","Approved,Renamed","Zircon","tetragonal","Ce^4+ Si O","Std-Ce"
"Steudelite","Steudelite","Na<sub>3</sub>◻(K<sub>17</sub>Ca<sub>7</sub>)Ca<sub>4</sub>(Al<sub>24</sub>Si<sub>24</sub>O<sub>96</sub>)(SO<sub>3</sub>)<sub>6</sub>F<sub>6</sub>·4H<sub>2</sub>O<sub>","Na K Ca Al Si O S F H","2021","Approved","Cancrinite","hexagonal","Na K Ca Al Si O S^4+ F H","Stdl"
"Stevensite","Stevensite","(Ca,Na)<sub>x</sub>Mg<sub>3-y</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>","Ca Na Mg Si O H","1873","Approved,Questionable mineral species","Clay","","Ca Na Mg Si O H","Stv"
"Steverustite","Steverustite","Pb<sup>2+</sup><sub>5</sub>(OH)<sub>5</sub>[Cu<sup>1+</sup>(S<sup>6+</sup>O<sub>3</sub>S<sup>2-</sup>)<sub>3</sub>](H<sub>2</sub>O)<sub>2</sub>","Pb O H Cu S","2008","Approved"," ","monoclinic","Pb^2+ Cu^1+ S^6+ O S^2- H","Svr"
"Stewartite","Stewartite","Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Mn Fe P O H","1912","Approved,Grandfathered","Stewartite","triclinic","Mn^2+ Fe^3+ P O H","Stw"
"Stibarsen","Stibarsen","SbAs","Sb As","1941","Approved","Arsenic","hexagonal","Sb As","Sbr"
"Stibiconite","Stibiconite","Sb<sup>3+</sup>Sb<sup>5+</sup><sub>2</sub>O<sub>6</sub>(OH)","Sb O H","1832","Approved,Questionable mineral species","Pyrochlore","cubic","Sb^3+ Sb^5+ O H","Sbc"
"Stibioclaudetite","Stibioclaudetite","AsSbO<sub>3</sub>","As Sb O","2007","Approved","Arsenolamprite-Claudetite","monoclinic","As^3+ Sb^3+ O","Scld"
"Stibiocolumbite","Stibiocolumbite","SbNbO<sub>4</sub>","Sb Nb O","1915","Approved,Grandfathered"," ","orthorhombic","Sb^3+ Nb^5+ O","Sclb"
"Stibiocolusite","Stibiocolusite","Cu<sub>13</sub>V(Sb,Sn,As)<sub>3</sub>S<sub>16</sub>","Cu V Sb Sn As S","1991","Approved","Sphalerite, Germanite","cubic","Cu^1+ Cu^2+ V^3+ Sb^5+ Sn^4+ As^5+ S^2-","Sclu"
"Stibiogoldfieldite","Stibiogoldfieldite","Cu<sub>6</sub>Cu<sub>6</sub>(Sb<sub>2</sub>Te<sub>2</sub>)S<sub>13</sub>","Cu Sb Te S","2021","Approved","Tetrahedrite","cubic","Cu^1+ Sb^3+ Te^4+ S^2-","Sbgf"
"Stibiopalladinite","Stibiopalladinite","Pd<sub>5</sub>Sb<sub>2</sub>","Pd Sb","1927","Approved"," ","hexagonal","Pd Sb","Stpdn"
"Stibiotantalite","Stibiotantalite","Sb<sup>3+</sup>TaO<sub>4</sub>","Sb Ta O","1893","Approved,Grandfathered"," ","orthorhombic","Sb^3+ Ta^5+ O","Sttl"
"Stibioústalečite","Stibioustalecite","Cu<sub>6</sub>Cu<sub>6</sub>(Sb<sub>2</sub>Te<sub>2</sub>)Se<sub>13</sub>","Cu Sb Te Se","2021","Approved","Tetrahedrite","cubic","Cu^1+ Sb^3+ Te^4+ Se^2-","Súč"
"Stibivanite","Stibivanite","Sb<sup>3+</sup><sub>2</sub>V<sup>4+</sup>O<sub>5</sub>","Sb V O","1980","Approved"," ","monoclinic|orthorhombic","Sb^3+ V^4+ O","Stbv"
"Stibnite","Stibnite","Sb<sub>2</sub>S<sub>3</sub>","Sb S","1832","Approved,Grandfathered","Stibnite","orthorhombic","Sb^3+ S^2-","Sbn"
"Stichtite","Stichtite","Mg<sub>6</sub>Cr<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>16</sub>·4H<sub>2</sub>O","Mg Cr C O H","1910","Approved,Redefined","Hydrotalcite","hexagonal","Mg Cr^3+ C O H","Stt"
"Stilbite-Ca","Stilbite-Ca","NaCa<sub>4</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·28H<sub>2</sub>O","Na Ca Si Al O H","1801","Approved","Stilbite","monoclinic|orthorhombic","Na Ca Si Al O H","Stb-Ca"
"Stilbite-Na","Stilbite-Na","Na<sub>9</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·28H<sub>2</sub>O","Na Si Al O H","1997","Approved","Stilbite","monoclinic","Na Si Al O H","Stb-Na"
"Stilleite","Stilleite","ZnSe","Zn Se","1956","Approved,Grandfathered","Sphalerite","cubic","Zn^2+ Se^2-","Sll"
"Stillwaterite","Stillwaterite","Pd<sub>8</sub>As<sub>3</sub>","Pd As","1974","Approved","Stillwaterite","hexagonal","Pd As","Slw"
"Stillwellite-(Ce)","Stillwellite-(Ce)","CeBSiO<sub>5</sub>","Ce B Si O","1955","Approved,Renamed"," ","hexagonal","Ce^3+ B Si O","Swl-Ce"
"Stilpnomelane","Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>36</sub>·nH<sub>2</sub>O","K Ca Na Fe Mg Al Si O H","1827","Approved","Stilpnomelane, Clay","triclinic","K Ca Na Fe^2+ Mg Al Fe^3+ Si O H","Stp"
"Stishovite","Stishovite","SiO<sub>2</sub>","Si O","1962","Approved","Rutile","tetragonal","Si O","Sti"
"Stistaite","Stistaite","SnSb","Sn Sb","1969","Approved","Rocksalt","hexagonal|cubic","Sn^2+ Sb","Sst"
"Stöfflerite","Stofflerite","CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>","Ca Al Si O","2017","Approved","Coronadite","tetragonal","Ca Al Si O","Sff"
"Stoiberite","Stoiberite","Cu<sub>5</sub>O<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>","Cu O V","1979","Approved"," ","monoclinic","Cu^2+ O V^5+","Sbe"
"Stokesite","Stokesite","CaSnSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O","Ca Sn Si O H","1900","Approved,Grandfathered"," ","orthorhombic","Ca Sn^4+ Si O H","Sks"
"Stolperite","Stolperite","AlCu","Al Cu","2016","Approved","Iron","cubic","Al Cu","Slp"
"Stolzite","Stolzite","Pb(WO<sub>4</sub>)","Pb W O","1845","Approved,Grandfathered","Scheelite","tetragonal","Pb^2+ W^6+ O","Sz"
"Stoppaniite","Stoppaniite","Fe<sup>3+</sup><sub>2</sub>Be<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>·H<sub>2</sub>O","Fe Be Si O H","1996","Approved","Beryl","hexagonal","Fe^3+ Be Si O H","Spp"
"Stottite","Stottite","Fe<sup>2+</sup>Ge(OH)<sub>6</sub>","Fe Ge O H","1958","Approved,Grandfathered","Perovskite","tetragonal|monoclinic","Fe^2+ Ge O H","Sto"
"Stracherite","Stracherite","BaCa<sub>6</sub>(SiO<sub>4</sub>)<sub>2</sub>[(PO<sub>4</sub>)(CO<sub>3</sub>)]F","Ba Ca Si O P C F","2017","Approved","Zadovite","hexagonal","Ba Ca Si O P C F","Stra"
"Straczekite","Straczekite","(Ca,K,Ba)(V<sup>5+</sup>,V<sup>4+</sup>)<sub>8</sub>O<sub>20</sub>·3H<sub>2</sub>O","Ca K Ba V O H","1983","Approved","Straczekite","monoclinic|unknown","Ca K Ba V^4+ V^5+ O H","Szk"
"Strakhovite","Strakhovite","NaBa<sub>3</sub>(Mn<sup>2+</sup>,Mn<sup>3+</sup>)<sub>4</sub>[Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>][Si<sub>2</sub>O<sub>7</sub>]O<sub>2</sub>·(F,OH)·H<sub>2</sub>O","Na Ba Mn Si O H F","1993","Approved"," ","orthorhombic","Na Ba Mn^2+ Mn^3+ Si O H F","Skhv"
"Stranskiite","Stranskiite","CuZn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>","Cu Zn As O","1960","Approved"," ","triclinic","Cu^2+ Zn^2+ As^5+ O","Ssk"
"Strashimirite","Strashimirite","Cu<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·2.5H<sub>2</sub>O","Cu As O H","1967","Approved"," ","monoclinic","Cu^2+ As^5+ O H","Ssh"
"Straßmannite","Strassmannite","Al(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>F·16H<sub>2</sub>O","Al U O S F H","2018","Approved","Leydetite","monoclinic","Al U^6+ O S^6+ F H","Sßm"
"Strätlingite","Stratlingite","Ca<sub>2</sub>Al(Si,Al)<sub>2</sub>O<sub>2</sub>(OH)<sub>10</sub>·2.25H<sub>2</sub>O","Ca Al Si O H","1975","Approved"," ","hexagonal","Ca Al Si O H","Srä"
"Strelkinite","Strelkinite","Na<sub>2</sub>(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na U O V H","1973","Approved"," ","orthorhombic","Na U^6+ O V^5+ H","Slk"
"Strengite","Strengite","Fe<sup>3+</sup>(PO<sub>4</sub>)·2H<sub>2</sub>O","Fe P O H","1877","Approved,Grandfathered"," ","orthorhombic","Fe^3+ P O H","Stg"
"Stringhamite","Stringhamite","CaCu(SiO<sub>4</sub>)·H<sub>2</sub>O","Ca Cu Si O H","1974","Approved"," ","monoclinic","Ca Cu^2+ Si O H","Sgh"
"Stromeyerite","Stromeyerite","CuAgS","Cu Ag S","1832","Approved,Grandfathered"," ","orthorhombic","Cu^1+ Ag^1+ S^2-","Smy"
"Stronadelphite","Stronadelphite","Sr<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>F","Sr P O F","2008","Approved","Apatite","hexagonal","Sr P O F","Sad"
"Stronalsite","Stronalsite","Na<sub>2</sub>SrAl<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>","Na Sr Al Si O","1983","Approved"," ","orthorhombic","Na Sr Al Si O","Sns"
"Strontianite","Strontianite","Sr(CO<sub>3</sub>)","Sr C O","1791","Approved,Grandfathered","Aragonite","orthorhombic","Sr C O","Str"
"Strontioborite","Strontioborite","Sr[B<sub>8</sub>O<sub>11</sub>(OH)<sub>4</sub>]","Sr B O H","2020","Approved,Pending publication"," ","monoclinic","Sr B O H","Srbo"
"Strontiochevkinite","Strontiochevkinite","(Sr,Ce,La)<sub>4</sub>Fe<sup>2+</sup>(Ti,Zr)<sub>4</sub>O<sub>8</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>","Sr Ce La Fe Ti Zr O Si","1983","Approved","Chevkinite","monoclinic","Sr Ce^3+ La^3+ Fe^2+ Ti^4+ Zr^4+ O Si","Scvk"
"Strontiodresserite","Strontiodresserite","SrAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O","Sr Al C O H","1977","Approved","Dundasite","orthorhombic","Sr Al C O H","Sdrs"
"Strontiofluorite","Strontiofluorite","SrF<sub>2</sub>","Sr F","2009","Approved","Fluorite","cubic","Sr F","Sflr"
"Strontioginorite","Strontioginorite","CaSrB<sub>14</sub>O<sub>20</sub>(OH)<sub>6</sub>·5H<sub>2</sub>O","Ca Sr B O H","1959","Approved,Grandfathered"," ","monoclinic","Sr Ca B O H","Sgnr"
"Strontiohurlbutite","Strontiohurlbutite","SrBe<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>","Sr Be P O","2012","Approved","Danburite","monoclinic","Sr Be P O","Shrb"
"Strontiojoaquinite","Strontiojoaquinite","(Na,Fe)<sub>2</sub>Ba<sub>2</sub>Sr<sub>2</sub>Ti<sub>2</sub>(SiO<sub>3</sub>)<sub>8</sub>(O,OH)<sub>2</sub>·H<sub>2</sub>O","Na Fe Ba Sr Ti Si O H","1979","Approved,Redefined","Joaquinite","orthorhombic","Na Fe^2+ Ba Sr Ti^4+ Si O H","Sjq"
"Strontiomelane","Strontiomelane","Sr(Mn<sup>4+</sup><sub>6</sub>Mn<sup>3+</sup><sub>2</sub>)O<sub>16</sub>","Sr Mn O","1995","Approved","Coronadite","monoclinic","Sr Mn^4+ Mn^3+ O","Sml"
"Strontio-orthojoaquinite","Strontio-orthojoaquinite","NaSr<sub>4</sub>Fe<sup>3+</sup>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>4</sub>","Na Sr Fe Ti Si O H","1979","Approved,Redefined","Joaquinite","orthorhombic","Na Sr Fe^3+ Ti^4+ Si O H","Sojq"
